Response,Proportion,Journal
No reply,0.36,Emotion
Refused/unable,0.10,Emotion
No data despite promise,0.06,Emotion
Data shared after reminder,0.21,Emotion
Data shared after 1st req,0.28,Emotion
No reply,0.55,Exp & Clin Psy
Refused/unable,0.15,Exp & Clin Psy
No data despite promise,0.00,Exp & Clin Psy
Data shared after reminder,0.15,Exp & Clin Psy
Data shared after 1st req,0.15,Exp & Clin Psy
No reply,0.38,J Abnormal Psy
Refused/unable,0.31,J Abnormal Psy
No data despite promise,0.06,J Abnormal Psy
Data shared after reminder,0.07,J Abnormal Psy
Data shared after 1st req,0.18,J Abnormal Psy
No reply,0.44,Psy & Aging
Refused/unable,0.17,Psy & Aging
No data despite promise,0.02,Psy & Aging
Data shared after reminder,0.17,Psy & Aging
Data shared after 1st req,0.20,Psy & Aging
